TOTAL_MATCHES=1472 FILES_SCANNED=626
rel_path:line [pattern] class::func | code
s32_c_parallel_clock_isolation.py: 505 [DeterministicClock    ] -::test_s32_c_06_interleaving_adversarial | DeterministicClock.reset()
s32_c_parallel_clock_isolation.py: 509 [datetime ctor         ] -::test_s32_c_06_interleaving_adversarial | "A": datetime(2025, 1, 15, 10, 0, 0),
s32_c_parallel_clock_isolation.py: 510 [datetime ctor         ] -::test_s32_c_06_interleaving_adversarial | "B": datetime(2025, 1, 15, 10, 0, 1),
s32_c_parallel_clock_isolation.py: 511 [datetime ctor         ] -::test_s32_c_06_interleaving_adversarial | "C": datetime(2025, 1, 15, 10, 0, 2),
s32_c_parallel_clock_isolation.py: 512 [datetime ctor         ] -::test_s32_c_06_interleaving_adversarial | "D": datetime(2025, 1, 15, 10, 0, 3),
s32_c_parallel_clock_isolation.py: 530 [DeterministicClock    ] -::worker_interleaved | DeterministicClock.set_time(expected)
s32_c_parallel_clock_isolation.py: 531 [DeterministicClock    ] -::worker_interleaved | observed = DeterministicClock._current_time
s32_c_parallel_clock_isolation.py: 571 [clock var             ] -::test_s32_c_07_replay_result_integrity | Além do clock, comparar:
s32_c_parallel_clock_isolation.py: 583 [DeterministicClock    ] -::test_s32_c_07_replay_result_integrity | DeterministicClock.reset()
s32_c_parallel_clock_isolation.py: 592 [DeterministicClock    ] -::test_s32_c_07_replay_result_integrity | from mercury_ai.utils.deterministic_clock import DeterministicClock
s32_c_parallel_clock_isolation.py: 623 [clock var             ] -::run_replay_isolated | """Run a single replay in isolation, capturing clock state."""
s32_c_parallel_clock_isolation.py: 624 [clock var             ] -::run_replay_isolated | # Capture clock before
s32_c_parallel_clock_isolation.py: 625 [DeterministicClock    ] -::run_replay_isolated | clock_before = DeterministicClock.snapshot()
s32_c_parallel_clock_isolation.py: 636 [clock var             ] -::run_replay_isolated | # Capture clock after
s32_c_parallel_clock_isolation.py: 637 [DeterministicClock    ] -::run_replay_isolated | clock_after = DeterministicClock.snapshot()
s32_c_parallel_clock_isolation.py: 671 [clock var             ] -::test_s32_c_07_replay_result_integrity | # Check if clock was contaminated (went from deterministic back to real)
s32_c_parallel_clock_isolation.py: 674 [clock var             ] -::test_s32_c_07_replay_result_integrity | # Clock should be restored to original state
s32_c_parallel_clock_isolation.py: 715 [DeterministicClock    ] -::test_s32_c_08_final_state_recovery | DeterministicClock.reset()
s32_c_parallel_clock_isolation.py: 744 [DeterministicClock    ] -::test_s32_c_08_final_state_recovery | clock_before = DeterministicClock.snapshot()
s32_c_parallel_clock_isolation.py: 745 [clock var             ] -::test_s32_c_08_final_state_recovery | print(f"Clock before replay: {clock_before}")
s32_c_parallel_clock_isolation.py: 755 [DeterministicClock    ] -::test_s32_c_08_final_state_recovery | clock_after = DeterministicClock.snapshot()
s32_c_parallel_clock_isolation.py: 756 [clock var             ] -::test_s32_c_08_final_state_recovery | print(f"Clock after replay: {clock_after}")
s32_c_parallel_clock_isolation.py: 802 [clock var             ] -::test_s32_c_09_r2_classification | # S32-C-04: Clock contamination
s32_c_parallel_clock_isolation.py: 825 [clock var             ] -::test_s32_c_09_r2_classification | "S32-C-04 (Clock contamination)": is_pass_04,
s32_c_parallel_clock_isolation.py: 852 [clock var             ] -::test_s32_c_09_r2_classification | r2_status = "Cannot observe internal state due to shared clock - need infrastructure fix"
s32_c_parallel_clock_isolation.py: 932 [clock var             ] -::test_s32_c_12_regression | print("Note: No new failures should be introduced by the clock isolation tests.")
s32_c_parallel_clock_isolation.py: 989 [clock var             ] -::test_s32_c_14_repository_integrity | clock isolation
s32_c_parallel_clock_isolation.py:1075 [clock var             ] -::test_s32_c_15_r2_closure_report | report_content = """# S32-C Parallel Clock Isolation Closure Report
s32_c_parallel_clock_isolation.py:1078 [DeterministicClock    ] -::test_s32_c_15_r2_closure_report | **Objective**: Prove empirically that DeterministicClock instances remain isolated during concurrent replay execution.
s32_c_parallel_clock_isolation.py:1101 [DeterministicClock    ] -::test_s32_c_15_r2_closure_report | 1. DeterministicClock._current_time is [SHARED/THREAD-LOCAL] state
s32_c_parallel_clock_isolation.py:1146 [clock var             ] -::test_s32_c_16_gate_final | print("  R2 = NOT PROVEN:    Need to fix clock infrastructure first")
s32_c_parallel_clock_isolation.py:1155 [clock var             ] -::- | print("S32-C - Parallel Clock Isolation Closure Test Suite")
s32_c_parallel_clock_isolation.py:1162 [DeterministicClock    ] -::- | # Note: Some tests modify global state (DeterministicClock), so order matters
s32_c_parallel_clock_isolation.py:1164 [clock var             ] -::- | print("\n--- Running S32-C-01: Baseline Clock Ownership ---")
s32_c_parallel_clock_isolation.py:1173 [clock var             ] -::- | print("\n--- Running S32-C-04: Internal Clock Contamination ---")
s32_c_parallel_clock_isolation_focused.py:   2 [clock var             ] -::- | S32-C — Parallel Clock Isolation Closure Test (Focused Version)
s32_c_parallel_clock_isolation_focused.py:   4 [DeterministicClock    ] -::- | This test focuses on the core question: is DeterministicClock._current_time
s32_c_parallel_clock_isolation_focused.py:  13 [import time           ] -::- | import time
s32_c_parallel_clock_isolation_focused.py:  15 [timezone              ] -::- | from datetime import datetime, timezone
s32_c_parallel_clock_isolation_focused.py:  21 [DeterministicClock    ] -::- | from mercury_ai.utils.deterministic_clock import DeterministicClock
s32_c_parallel_clock_isolation_focused.py:  26 [clock var             ] -::test_baseline_shared_state | S32-C-01: Baseline do Clock
s32_c_parallel_clock_isolation_focused.py:  35 [clock var             ] -::test_baseline_shared_state | print("S32-C-01: Baseline do Clock - SHARED STATE CONFIRMED")
s32_c_parallel_clock_isolation_focused.py:  38 [DeterministicClock    ] -::test_baseline_shared_state | DeterministicClock.reset()
s32_c_parallel_clock_isolation_focused.py:  41 [datetime ctor         ] -::test_baseline_shared_state | set_time = datetime(2025, 1, 15, 10, 0, 0)
s32_c_parallel_clock_isolation_focused.py:  42 [DeterministicClock    ] -::test_baseline_shared_state | DeterministicClock.set_time(set_time)
s32_c_parallel_clock_isolation_focused.py:  45 [DeterministicClock    ] -::test_baseline_shared_state | current = DeterministicClock._current_time
s32_c_parallel_clock_isolation_focused.py:  52 [DeterministicClock    ] -::test_baseline_shared_state | print("This means concurrent threads sharing the same DeterministicClock instance")
s32_c_parallel_clock_isolation_focused.py:  60 [clock var             ] -::test_concurrent_clock_observation | S32-C-04: Internal Clock Contamination Test (focused version)
s32_c_parallel_clock_isolation_focused.py:  66 [clock var             ] -::test_concurrent_clock_observation | print("S32-C-04: Concurrent Clock Observation Test")
s32_c_parallel_clock_isolation_focused.py:  69 [DeterministicClock    ] -::test_concurrent_clock_observation | DeterministicClock.reset()
s32_c_parallel_clock_isolation_focused.py:  77 [clock var             ] -::worker_observation | """Observe clock as a worker would."""
s32_c_parallel_clock_isolation_focused.py:  81 [DeterministicClock    ] -::worker_observation | DeterministicClock.set_time(expected_time)
s32_c_parallel_clock_isolation_focused.py:  84 [DeterministicClock    ] -::worker_observation | observed_current = DeterministicClock._current_time
s32_c_parallel_clock_isolation_focused.py:  85 [DeterministicClock    ] -::worker_observation | observed_utcnow = DeterministicClock.utcnow()
s32_c_parallel_clock_isolation_focused.py: 100 [datetime ctor         ] -::test_concurrent_clock_observation | "A": datetime(2025, 1, 15, 10, 0, 0),
s32_c_parallel_clock_isolation_focused.py: 101 [datetime ctor         ] -::test_concurrent_clock_observation | "B": datetime(2025, 1, 15, 10, 0, 1),
s32_c_parallel_clock_isolation_focused.py: 102 [datetime ctor         ] -::test_concurrent_clock_observation | "C": datetime(2025, 1, 15, 10, 0, 2),
s32_c_parallel_clock_isolation_focused.py: 103 [datetime ctor         ] -::test_concurrent_clock_observation | "D": datetime(2025, 1, 15, 10, 0, 3),
s32_c_parallel_clock_isolation_focused.py: 145 [clock var             ] -::test_barrier_synchronized_observation | Tests clock observation with barrier synchronization to maximize race conditions.
s32_c_parallel_clock_isolation_focused.py: 148 [clock var             ] -::test_barrier_synchronized_observation | print("S32-C-03: Barrier-Synchronized Clock Observation")
s32_c_parallel_clock_isolation_focused.py: 151 [DeterministicClock    ] -::test_barrier_synchronized_observation | DeterministicClock.reset()
s32_c_parallel_clock_isolation_focused.py: 157 [clock var             ] -::worker_barrier | """Set clock and observe at barrier point."""
s32_c_parallel_clock_isolation_focused.py: 161 [DeterministicClock    ] -::worker_barrier | DeterministicClock.set_time(expected_time)
s32_c_parallel_clock_isolation_focused.py: 170 [clock var             ] -::worker_barrier | # After barrier - observe clock
s32_c_parallel_clock_isolation_focused.py: 171 [DeterministicClock    ] -::worker_barrier | observed_current = DeterministicClock._current_time
s32_c_parallel_clock_isolation_focused.py: 182 [datetime ctor         ] -::test_barrier_synchronized_observation | datetime(2025, 1, 15, 10, 0, i) for i in range(4)
s32_c_parallel_clock_isolation_focused.py: 218 [DeterministicClock    ] -::test_replay_integrity | DeterministicClock.reset()
s32_c_parallel_clock_isolation_focused.py: 250 [clock var             ] -::run_replay_isolated | """Run a single replay and capture clock state."""
s32_c_parallel_clock_isolation_focused.py: 251 [DeterministicClock    ] -::run_replay_isolated | clock_before = DeterministicClock.snapshot()
s32_c_parallel_clock_isolation_focused.py: 261 [DeterministicClock    ] -::run_replay_isolated | clock_after = DeterministicClock.snapshot()
s32_c_parallel_clock_isolation_focused.py: 288 [clock var             ] -::test_replay_integrity | print(f"\nTest {'PASS' if is_pass else 'FAIL'}: {'Clocks restored' if is_pass else 'Clock not restored'}")
s32_c_parallel_clock_isolation_focused.py: 351 [clock var             ] -::test_s32_c_09_r2_classification | r2_reason = "Shared clock state prevents per-thread isolation proof"
s32_c_parallel_clock_isolation_focused.py: 376 [clock var             ] -::- | print("S32-C - Parallel Clock Isolation Closure (Focused)")
s32_e3_bridge_closure_execution.py:  17 [import time           ] -::- | import time
s32_e3_bridge_closure_execution.py: 154 [time.time             ] -::run_g_cycle | start_time = time.time()
s32_e3_bridge_closure_execution.py: 156 [time.time             ] -::run_g_cycle | while time.time() - start_time < max_handshake_wait:
s32_e3_bridge_closure_execution.py: 165 [time.time             ] -::run_g_cycle | print(f"  G Cycle {cycle_num}: HANDHAKE_READY observed at {time.time()-start_time:.2f}s")
s32_e3_bridge_closure_execution.py: 171 [time.sleep            ] -::run_g_cycle | time.sleep(0.1)
s32_e3_bridge_closure_execution.py: 356 [time.sleep            ] -::run_g_cycles_10 | time.sleep(0.3)
s32_e3_bridge_closure_execution.py: 437 [time.sleep            ] -::run_f_cycle | time.sleep(kill_delay)
s32_e3_bridge_closure_execution.py: 565 [time.sleep            ] -::run_f_cycles_10 | time.sleep(0.2)
s32_e3_bridge_closure_pid_proof.py:  16 [import time           ] -::- | import time
s32_e3_f04_close_test.py:   5 [sleep(                ] -::- | Proves, without sleep() as evidence, that:
s32_e3_f04_close_test.py:  25 [import time           ] -::- | import time
s32_e3_f04_close_test.py:  50 [time.time             ] -::get_cycle_data | "timestamp": time.time(),
s32_e3_f04_close_test.py: 211 [time.time             ] -::run_g_cycle | f"RELEASE {time.time()} "
s32_e3_f04_close_test.py: 313 [time.time             ] -::run_regression_tests | compile_start = time.time()
s32_e3_f04_close_test.py: 320 [time.time             ] -::run_regression_tests | compile_duration = time.time() - compile_start
s32_e3_f04_close_test.py: 324 [time.time             ] -::run_regression_tests | pytest_start = time.time()
s32_e3_f04_close_test.py: 332 [time.time             ] -::run_regression_tests | pytest_duration = time.time() - pytest_start
s32_e3_pid_replace_kill_proof.py:   5 [import time           ] -::- | import time
s32_e3_pid_replace_kill_proof.py: 172 [time.time             ] -::run_forensic_proof | "timestamp": int(time.time()),
s32_e3_task1_f_test.py:  13 [import time           ] -::- | import time
s32_e3_task1_f_test.py:  78 [time.sleep            ] -::run_f_test_cycle | time.sleep(kill_delay)
s32_e3_task1_f_test.py: 134 [time.time             ] -::run_f_times_10 | data_to_write = {"test": "F-point", "timestamp": time.time()}
s32_e3_task1_f_test.py: 161 [time.sleep            ] -::run_f_times_10 | time.sleep(0.1)
s32_e3_task2_g_basic.py:  13 [import time           ] -::- | import time
s32_e3_task2_g_basic.py: 136 [time.sleep            ] -::run_g_basic_cycles | time.sleep(0.3)
s32_e3_task2_g_deterministic.py:   9 [sleep(                ] -::- | - NO sleep() or kill_after_seconds timing
s32_e3_task2_g_deterministic.py:  19 [import time           ] -::- | import time
s32_e3_task2_g_deterministic.py:  28 [sleep(                ] -::run_g_deterministic_test | Run G deterministically without sleep().
s32_e3_task2_g_deterministic.py:  85 [time.time             ] -::run_g_deterministic_test | start_time = time.time()
s32_e3_task2_g_deterministic.py:  87 [time.time             ] -::run_g_deterministic_test | while time.time() - start_time < max_handshake_wait:
s32_e3_task2_g_deterministic.py:  97 [time.time             ] -::run_g_deterministic_test | print(f"  Cycle: HANDHAKE_READY observed at {time.time()-start_time:.2f}s")
s32_e3_task2_g_deterministic.py: 101 [time.sleep            ] -::run_g_deterministic_test | time.sleep(0.1)
s32_e3_task2_g_deterministic.py: 184 [time.time             ] -::run_g_deterministic_cycles | test_data = {"test": "G-point", "cycle": cycle, "timestamp": time.time()}
s32_e3_task2_g_deterministic.py: 193 [time.sleep            ] -::run_g_deterministic_cycles | time.sleep(0.2)
s32_e3_task2_g_extended.py:  13 [import time           ] -::- | import time
s32_e3_task2_g_extended.py:  74 [time.time             ] -::run_g_deterministic_with_retries | start_time = time.time()
s32_e3_task2_g_extended.py:  76 [time.time             ] -::run_g_deterministic_with_retries | while time.time() - start_time < 5.0:  # max 5s to observe handshake
s32_e3_task2_g_extended.py:  85 [time.time             ] -::run_g_deterministic_with_retries | print(f"  HANDHAKE_READY observed at {time.time()-start_time:.2f}s")
s32_e3_task2_g_extended.py:  89 [time.sleep            ] -::run_g_deterministic_with_retries | time.sleep(0.2)
s32_e3_task2_g_extended.py: 102 [time.sleep            ] -::run_g_deterministic_with_retries | time.sleep(post_handshake_wait)
s32_e3_task2_g_extended.py: 185 [time.sleep            ] -::run_g_extended_wait_cycles | time.sleep(0.3)
s32_e3_task2_g_natural.py:   6 [sleep(                ] -::- | e então observamos o resultado. Elimina o sleep()/kill() forçados.
s32_e3_task2_g_natural.py:  13 [import time           ] -::- | import time
s32_e3_task2_g_natural.py:  75 [time.time             ] -::run_g_natural_completion | start_time = time.time()
s32_e3_task2_g_natural.py:  77 [time.time             ] -::run_g_natural_completion | while time.time() - start_time < 5.0:
s32_e3_task2_g_natural.py:  86 [time.time             ] -::run_g_natural_completion | print(f"  HANDHAKE_READY observed at {time.time()-start_time:.2f}s")
s32_e3_task2_g_natural.py:  90 [time.sleep            ] -::run_g_natural_completion | time.sleep(0.2)
s32_e3_task2_g_natural.py: 114 [time.sleep            ] -::run_g_natural_completion | time.sleep(0.5)
s32_e3_task2_g_natural.py: 116 [time.time             ] -::run_g_natural_completion | if time.time() - start_time > max_total_wait:
s32_e3_task2_g_natural.py: 201 [time.sleep            ] -::run_g_natural_cycles | time.sleep(0.5)
scripts/capture_mixed.py:  27 [time.sleep            ] -::- | time.sleep(delay_cache)
scripts/capture_triple.py:  31 [time.sleep            ] -::- | time.sleep(delay)
scripts/enrich_report.py:  22 [DeterministicClock    ] -::- | 'parallel_reason': 'NEEDS_MORE_TEST: 12 assets seq 285s vs par2 82s (3.4x) mas time_to_first degradou em batch par; DeterministicClock SAFE, SnapshotLogger SAFE, tracemalloc mitigado, yfinance rate limit UNKNOWN; precisa emissao incremental por worker + backoff/jitter + teste 64.',
scripts/enrich_report.py:  62 [clock var             ] -::- | '7_medicao_REAL': 'PASS — wall clock medido por ciclo (perf_counter)',
scripts/gate_final_asset_universe.py:   4 [timezone              ] -::- | from datetime import datetime, timezone
scripts/gate_final_asset_universe.py: 109 [datetime.now          ] -::- | "generated_at": datetime.now(timezone.utc).isoformat(),
scripts/m5_continuous_scanner.py:  39 [import time           ] -::- | import time
scripts/m5_continuous_scanner.py:  41 [timezone              ] -::- | from datetime import datetime, timezone, timedelta
scripts/m5_continuous_scanner.py: 193 [time.perf_counter     ] -::main | overall_start = time.perf_counter()
scripts/m5_continuous_scanner.py: 194 [datetime.now          ] -::main | overall_start_iso = datetime.now(timezone.utc).isoformat()
scripts/m5_continuous_scanner.py: 224 [time.perf_counter     ] -::main | cycle_start = time.perf_counter()
scripts/m5_continuous_scanner.py: 225 [datetime.now          ] -::main | cycle_start_iso = datetime.now(timezone.utc).isoformat()
scripts/m5_continuous_scanner.py: 226 [datetime.now          ] -::main | cycle_start_wall = datetime.now(timezone.utc)
scripts/m5_continuous_scanner.py: 232 [isoformat             ] -::main | print(f"CYCLE {cycle_idx} — start {cycle_start_iso}  candle={cycle_candle.isoformat()} next_boundary={cycle_next_boundary.isoformat()}")
scripts/m5_continuous_scanner.py: 238 [time.perf_counter     ] -::main | probe_start = time.perf_counter()
scripts/m5_continuous_scanner.py: 246 [time.perf_counter     ] -::main | probe_duration_s = time.perf_counter() - probe_start
scripts/m5_continuous_scanner.py: 291 [time.perf_counter     ] -::main | t0 = time.perf_counter()
scripts/m5_continuous_scanner.py: 292 [datetime.now          ] -::main | t0_iso = datetime.now(timezone.utc).isoformat()
scripts/m5_continuous_scanner.py: 297 [datetime.now          ] -::main | required = floor_m5(datetime.now(timezone.utc))
scripts/m5_continuous_scanner.py: 304 [time.perf_counter     ] -::main | t1 = time.perf_counter()
scripts/m5_continuous_scanner.py: 318 [isoformat             ] -::main | data_latest_iso = latest.isoformat()
scripts/m5_continuous_scanner.py: 319 [isoformat             ] -::main | decision_candle_iso = latest.isoformat()  # decisão baseada nesta vela
scripts/m5_continuous_scanner.py: 330 [datetime.now          ] -::main | now=datetime.now(timezone.utc),
scripts/m5_continuous_scanner.py: 371 [datetime.now          ] -::main | state.updated_at = datetime.now(timezone.utc).isoformat()
scripts/m5_continuous_scanner.py: 378 [datetime.fromisoformat] -::main | dt = datetime.fromisoformat(state.decision_timestamp.replace("Z", "+00:00"))
scripts/m5_continuous_scanner.py: 380 [timezone              ] -::main | dt = dt.replace(tzinfo=timezone.utc)
scripts/m5_continuous_scanner.py: 381 [datetime.now          ] -::main | state.decision_age_seconds = (datetime.now(timezone.utc) - dt).total_seconds()
scripts/m5_continuous_scanner.py: 428 [time.perf_counter     ] -::main | first_fresh_time = time.perf_counter() - cycle_start
scripts/m5_continuous_scanner.py: 430 [datetime.now          ] -::main | t_first_decision_wall = datetime.now(timezone.utc).isoformat()
scripts/m5_continuous_scanner.py: 435 [time.perf_counter     ] -::main | top3_partial_time = time.perf_counter() - cycle_start
scripts/m5_continuous_scanner.py: 444 [time.perf_counter     ] -::main | t1 = time.perf_counter()
scripts/m5_continuous_scanner.py: 453 [datetime.now          ] -::main | state.updated_at = datetime.now(timezone.utc).isoformat()
scripts/m5_continuous_scanner.py: 468 [datetime.now          ] -::main | execution_timestamp=datetime.now(timezone.utc).isoformat(),
scripts/m5_continuous_scanner.py: 475 [time.perf_counter     ] -::main | cycle_duration_s = time.perf_counter() - cycle_start
scripts/m5_continuous_scanner.py: 507 [time.perf_counter     ] -::analyze_one | t0 = time.perf_counter()
scripts/m5_continuous_scanner.py: 510 [time.perf_counter     ] -::analyze_one | t1 = time.perf_counter()
scripts/m5_continuous_scanner.py: 513 [datetime.now          ] -::analyze_one | snapshot_ts = snapshot.timestamp if snapshot else datetime.now(timezone.utc).isoformat()
scripts/m5_continuous_scanner.py: 524 [time.perf_counter     ] -::analyze_one | t1 = time.perf_counter()
scripts/m5_continuous_scanner.py: 529 [time.perf_counter     ] -::main | start_par = time.perf_counter()
scripts/m5_continuous_scanner.py: 550 [datetime.now          ] -::main | state.updated_at = datetime.now(timezone.utc).isoformat()
scripts/m5_continuous_scanner.py: 559 [datetime.now          ] -::main | execution_timestamp=datetime.now(timezone.utc).isoformat(),
scripts/m5_continuous_scanner.py: 566 [datetime.now          ] -::main | required = latest_candles.get(sym) or floor_m5(datetime.now(timezone.utc))
scripts/m5_continuous_scanner.py: 569 [datetime.now          ] -::main | fr = freshness_gate.check(df=None, decision_candle=latest, latest_candle=latest, now=datetime.now(timezone.utc))
scripts/m5_continuous_scanner.py: 585 [isoformat             ] -::main | state.decision_candle_timestamp = latest.isoformat() if latest else None
scripts/m5_continuous_scanner.py: 586 [isoformat             ] -::main | state.data_latest_timestamp = latest.isoformat() if latest else None
scripts/m5_continuous_scanner.py: 597 [datetime.now          ] -::main | state.updated_at = datetime.now(timezone.utc).isoformat()
scripts/m5_continuous_scanner.py: 607 [datetime.now          ] -::main | execution_timestamp=state.decision_timestamp or datetime.now(timezone.utc).isoformat(),
scripts/m5_continuous_scanner.py: 617 [time.perf_counter     ] -::main | first_fresh_time = time.perf_counter() - cycle_start
scripts/m5_continuous_scanner.py: 621 [time.perf_counter     ] -::main | top3_partial_time = time.perf_counter() - cycle_start
scripts/m5_continuous_scanner.py: 625 [time.perf_counter     ] -::main | cycle_duration_s = time.perf_counter() - cycle_start
scripts/m5_continuous_scanner.py: 669 [isoformat             ] -::main | "cycle_candle": cycle_candle.isoformat(),
scripts/m5_continuous_scanner.py: 670 [isoformat             ] -::main | "next_boundary": cycle_next_boundary.isoformat(),
scripts/m5_continuous_scanner.py: 695 [time.sleep            ] -::main | time.sleep(0.5)
scripts/m5_continuous_scanner.py: 698 [datetime.now          ] -::main | now_wall = datetime.now(timezone.utc)
scripts/m5_continuous_scanner.py: 701 [timedelta             ] -::main | target = nxt + timedelta(seconds=5)
scripts/m5_continuous_scanner.py: 711 [time.sleep            ] -::main | time.sleep(3)
scripts/m5_continuous_scanner.py: 713 [isoformat             ] -::main | print(f"  Aguardando {sleep_s:.1f}s até próxima fronteira M5 {target.isoformat()}")
scripts/m5_continuous_scanner.py: 714 [time.sleep            ] -::main | time.sleep(sleep_s)
scripts/m5_continuous_scanner.py: 716 [time.sleep            ] -::main | time.sleep(0.5)
scripts/m5_continuous_scanner.py: 721 [time.perf_counter     ] -::main | overall_duration_s = time.perf_counter() - overall_start
scripts/m5_continuous_scanner.py: 739 [datetime.now          ] -::main | "generated_at": datetime.now(timezone.utc).isoformat(),
scripts/m5_deep_dive_profiler.py:   8 [timezone              ] -::- | from datetime import datetime, timezone
scripts/m5_deep_dive_profiler.py:  20 [timedelta             ] -::- | from datetime import datetime, timedelta
scripts/m5_deep_dive_profiler.py: 102 [time.perf_counter     ] -::- | t0 = time.perf_counter()
scripts/m5_deep_dive_profiler.py: 104 [time.perf_counter     ] -::- | t1 = time.perf_counter()
scripts/m5_deep_dive_profiler.py: 112 [time.perf_counter     ] -::- | t0 = time.perf_counter()
scripts/m5_deep_dive_profiler.py: 115 [time.perf_counter     ] -::- | dt = time.perf_counter()-t0
scripts/m5_diagnose_variance.py:   2 [clock var             ] -::- | """Diagnostica por que frozen equivalence falha — isola InstitutionalMemory, snapshot, clock."""
scripts/m5_early_emission_test.py:  15 [timezone              ] -::- | from datetime import datetime, timezone
scripts/m5_early_emission_test.py:  56 [datetime.now          ] -::test_early_emission | "generated_at": datetime.now(timezone.utc).isoformat(),
scripts/m5_early_emission_test.py: 167 [datetime.now          ] -::test_equivalence | "generated_at": datetime.now(timezone.utc).isoformat(),
scripts/m5_early_emission_test.py: 209 [datetime.now          ] -::test_determinism | "generated_at": datetime.now(timezone.utc).isoformat(),
scripts/m5_early_emission_test.py: 250 [datetime.now          ] -::test_failure_isolation | "generated_at": datetime.now(timezone.utc).isoformat(),
scripts/m5_final_report.py:   5 [timezone              ] -::- | from datetime import datetime, timezone
scripts/m5_final_report.py:  37 [datetime.now          ] -::- | "generated_at": datetime.now(timezone.utc).isoformat(),
scripts/m5_final_report.py: 107 [DeterministicClock    ] -::- | "decision_integrity": "FAIL neste experimento: 11/12 mismatches porque dados de mercado mudaram entre seq (4:26) e par (4:31) — audit_id diferentes por timestamp/última vela, não por race. Prova que paralelização per se não corrompe lógica, mas yfinance data drift quebra comparabilidade quando mediç
scripts/m5_frozen_equivalence.py:  21 [timezone              ] -::- | from datetime import datetime, timezone
scripts/m5_frozen_equivalence.py: 206 [datetime.now          ] -::main | "generated_at": datetime.now(timezone.utc).isoformat(),
scripts/m5_frozen_equivalence_final.py:  20 [timezone              ] -::- | from datetime import datetime, timezone
scripts/m5_frozen_equivalence_final.py: 171 [datetime.now          ] -::- | "generated_at": datetime.now(timezone.utc).isoformat(),
scripts/m5_full_scan.py:   9 [timezone              ] -::- | from datetime import datetime, timezone
scripts/m5_full_scan.py:  20 [datetime.now          ] -::utc_now | def utc_now(): return datetime.now(timezone.utc).isoformat()
scripts/m5_inter_asset_parallel_scanner.py:  15 [timezone              ] -::- | from datetime import datetime, timezone
scripts/m5_inter_asset_parallel_scanner.py:  31 [time.perf_counter     ] -::_analyze_one_isolated | t0 = time.perf_counter()
scripts/m5_inter_asset_parallel_scanner.py:  49 [time.perf_counter     ] -::_analyze_one_isolated | wall_ms = (time.perf_counter() - t0) * 1000
scripts/m5_inter_asset_parallel_scanner.py:  95 [timezone              ] -::_analyze_one_isolated | from datetime import datetime as _dt, timezone as _tz
scripts/m5_inter_asset_parallel_scanner.py: 176 [time.perf_counter     ] -::_analyze_one_isolated | "wall_ms": round((time.perf_counter() - t0) * 1000, 1),
scripts/m5_inter_asset_parallel_scanner.py: 199 [time.perf_counter     ] ParallelScanner::scan | overall_t0 = time.perf_counter()
scripts/m5_inter_asset_parallel_scanner.py: 200 [datetime.now          ] ParallelScanner::scan | overall_iso = datetime.now(timezone.utc).isoformat()
scripts/m5_inter_asset_parallel_scanner.py: 246 [time.perf_counter     ] ParallelScanner::scan | elapsed_ms = (time.perf_counter() - monotonic_start) * 1000
scripts/m5_inter_asset_parallel_scanner.py: 348 [time.perf_counter     ] ParallelScanner::scan | wall_ms = (time.perf_counter() - monotonic_start) * 1000
scripts/m5_measure_baseline.py:  20 [time.perf_counter     ] -::- | t0=time.perf_counter()
scripts/m5_measure_baseline.py:  22 [time.perf_counter     ] -::- | t1=time.perf_counter()
scripts/m5_measure_baseline.py:  27 [time.perf_counter     ] -::- | t0=time.perf_counter()
scripts/m5_measure_baseline.py:  29 [time.perf_counter     ] -::- | t1=time.perf_counter()
scripts/m5_mtf_equivalence_check.py: 188 [isoformat             ] -::- | "generated_at": pd.Timestamp.now(tz="UTC").isoformat(),
scripts/m5_mtf_optimization_profiler.py:  16 [timezone              ] -::- | from datetime import datetime, timezone
scripts/m5_mtf_optimization_profiler.py:  43 [datetime.now          ] -::now_iso | def now_iso(): return datetime.now(timezone.utc).isoformat()
scripts/m5_mtf_optimization_profiler.py: 117 [time.perf_counter     ] -::- | t_asset_start = time.perf_counter()
scripts/m5_mtf_optimization_profiler.py: 147 [time.perf_counter     ] -::- | t_tf_start = time.perf_counter()
scripts/m5_mtf_optimization_profiler.py: 149 [time.perf_counter     ] -::- | t_fetch = time.perf_counter()
scripts/m5_mtf_optimization_profiler.py: 153 [time.perf_counter     ] -::- | rec["fetch_ms"] = (time.perf_counter() - t_fetch)*1000
scripts/m5_mtf_optimization_profiler.py: 159 [time.perf_counter     ] -::- | rec["total_tf_ms"]=(time.perf_counter()-t_tf_start)*1000
scripts/m5_mtf_optimization_profiler.py: 166 [time.perf_counter     ] -::- | rec["total_tf_ms"]=(time.perf_counter()-t_tf_start)*1000
scripts/m5_mtf_optimization_profiler.py: 178 [time.perf_counter     ] -::- | t_prep = time.perf_counter()
scripts/m5_mtf_optimization_profiler.py: 180 [time.perf_counter     ] -::- | rec["prep_ms"]=(time.perf_counter()-t_prep)*1000
scripts/m5_mtf_optimization_profiler.py: 183 [time.perf_counter     ] -::- | t_ind = time.perf_counter()
scripts/m5_mtf_optimization_profiler.py: 185 [time.perf_counter     ] -::- | rec["indicator_ms"]=(time.perf_counter()-t_ind)*1000
scripts/m5_mtf_optimization_profiler.py: 193 [time.perf_counter     ] -::- | t_trend = time.perf_counter()
